County,Solds,Ave List Price,Ave Sold Price,,,,
Baldwin,0,$0,$0,,,,
Baldwin (AL),0,$0,$0,,,,
Barrow,0,$0,$0,,,,
Bartow,1,"$231,000","$225,000",,,,
Bibb,2,"$329,000","$334,000",,,,
Bulloch,0,$0,$0,,,,
Carroll,0,$0,$0,,,,
Chatham,1,"$197,500","$200,000",,,,
Cherokee,2,"$417,500","$417,500",,,,
Clarke,14,"$364,307","$349,111",,,,
Clayton,1,"$165,000","$162,000",,,,
Cobb,44,"$308,672","$301,794",,,,
Coweta,1,"$300,000","$290,000",,,,
DeKalb,41,"$260,524","$253,149",,,,
Dougherty,0,$0,$0,,,,
Douglas,2,"$159,750","$159,095",,,,
Fannin,0,$0,$0,,,,
Fayette,1,"$249,900","$235,000",,,,
Fl Counties,0,$0,$0,,,,
Floyd,2,"$326,450","$320,077",,,,
Forsyth,8,"$446,038","$444,663",,,,
Fulton,160,"$476,117","$475,215",,,,
Gilmer,0,$0,$0,,,,
Glynn,2,"$339,950","$329,950",,,,
Gordon,2,"$189,900","$188,000",,,,
Greene,0,$0,$0,,,,
Gwinnett,17,"$303,455","$299,135",,,,
Habersham,0,$0,$0,,,,
Hall,5,"$297,880","$285,900",,,,
Hancock,0,$0,$0,,,,
Harris,0,$0,$0,,,,
Hart,0,$0,$0,,,,
Houston,3,"$133,300","$126,167",,,,
Jones,0,$0,$0,,,,
Mcintosh,1,"$242,000","$230,000",,,,
Monroe,1,"$310,000","$290,000",,,,
Morgan,0,$0,$0,,,,
Murray,0,$0,$0,,,,
Muscogee,0,$0,$0,,,,
Newton,0,$0,$0,,,,
Oconee,0,$0,$0,,,,
Paulding,0,$0,$0,,,,
Pickens,1,"$359,000","$340,000",,,,
Putnam,0,$0,$0,,,,
Rabun,1,"$1,850,000","$1,840,000",,,,
Richmond,0,$0,$0,,,,
Rockdale,1,"$325,000","$305,000",,,,
Sc Counties,0,$0,$0,,,,
Spalding,1,"$186,000","$186,000",,,,
Stephens,0,$0,$0,,,,
Towns,0,$0,$0,,,,
Walton,0,$0,$0,,,,
White,1,"$399,000","$411,500",,,,
Whitfield,0,$0,$0,,,,
