County,Number,Ave List Price,,
Baldwin,1,"$199,999",,
Baldwin (AL),1,"$859,900",,
Barrow,6,"$655,000",,
Bartow,0,$0,,
Bibb,5,"$483,800",,
Bulloch,2,"$106,750",,
Carroll,1,"$225,000",,
Chatham,6,"$668,333",,
Cherokee,11,"$534,518",,
Clarke,20,"$263,600",,
Clayton,6,"$146,566",,
Cobb,125,"$350,121",,
Coweta,2,"$278,850",,
DeKalb,207,"$260,766",,
Dougherty,0,$0,,
Douglas,4,"$322,975",,
Fannin,1,"$185,000",,
Fayette,5,"$348,180",,
Fl Counties,1,"$347,500",,
Floyd,3,"$553,333",,
Forsyth,14,"$492,114",,
Fulton,746,"$529,043",,
Gilmer,2,"$279,450",,
Glynn,16,"$643,919",,
Gordon,3,"$258,267",,
Greene,0,$0,,
Gwinnett,38,"$347,418",,
Habersham,1,"$224,000",,
Hall,6,"$311,967",,
Hancock,2,"$314,450",,
Harris,0,$0,,
Hart,1,"$359,000",,
Houston,2,"$127,250",,
Jones,1,"$99,500",,
Mcintosh,0,$0,,
Monroe,3,"$350,000",,
Morgan,2,"$509,900",,
Murray,0,$0,,
Muscogee,0,$0,,
Newton,3,"$428,333",,
Oconee,1,"$450,000",,
Paulding,1,"$325,000",,
Pickens,0,$0,,
Putnam,4,"$525,225",,
Rabun,11,"$287,745",,
Richmond,0,$0,,
Rockdale,3,"$196,300",,
Sc Counties,1,"$360,000",,
Spalding,1,"$274,900",,
Stephens,0,$0,,
Towns,6,"$560,583",,
Walton,1,"$289,900",,
White,0,$0,,
Whitfield,2,"$227,450",,
